FromParticipantId;Value_settled;Value_input;settled_input_ratio
1;16298119219.55;19080274392.58;0.8541868363218122
10;18368990723.57;25840444413.39;0.710862028133369
100;18570894726.8;22449726493.24;0.8272214243853713
11;7366107094.98;17324448141.74;0.4251856702570946
12;8214213822.06;11137108807.2;0.7375535216778716
13;16931308333.21;19988084642.66;0.8470700737915623
14;18803778842.64;19999225487.9;0.9402253529276283
15;13097180887.04;14303377931.56;0.9156704765621442
16;17068040428.43;21241962953.15;0.8035057996322772
17;17570409930.14;19728265408.79;0.8906211248714972
18;7406874123.7699995;9236575840.19;0.8019069243757367
19;24554126212.829998;27212284093.18;0.9023177227149339
2;1994826321.12;3764991475.1;0.5298355479190072
20;18397634211.67;21258014160.78;0.8654446305531557
21;22130011235.74;27501836999.72;0.8046739290893663
22;21780885527.55;31686202303.89;0.6873933745249123
23;19487005931.62;21285289180.75;0.9155152070587637
24;14110017897.62;15587581683.37;0.9052089146498988
25;21075060126.87;24221218681.91;0.8701073386786372
26;16411717515.68;18072032805.08;0.9081279174674091
27;21396762145.83;22588790864.45;0.9472291931970559
28;18390221378.72;28887684413.37;0.6366111286582912
29;12966291649.74;14602795516.61;0.8879321521000172
3;16908216060.45;17406702309.27;0.9713623959344367
30;12968138487.77;14326626169.41;0.9051774182158377
31;10970583157.07;14341918908.59;0.7649313335957603
32;15178779904.64;17262354667.8;0.8792995044270203
33;15754286457.33;19779218471.83;0.7965070247728747
34;17635106475.36;21561386676.06;0.8179022407190805
35;15156400345.67;18029861633.17;0.840627657274218
36;10890876988.91;13515910910.16;0.8057819455382216
37;9135845236.6;14615367280.72;0.6250848891530517
38;18242782049.92;22204051485.9;0.821596998255229
39;11515452645.65;16047812799.5;0.7175714715471249
4;15799158763.16;18985686571.84;0.832161570948594
40;11356760210.87;13497621489.23;0.8413897381795576
41;13363800904.88;13938610706.74;0.9587613275129313
42;19447660306.11;22470496892.78;0.8654753118681027
43;16684037000.7;18176438250.87;0.9178936362794529
44;16098859528.22;18006227967.68;0.8940717376852274
45;11835589743.19;15252900044.29;0.7759566842254836
46;16212273456.5;18138126212.46;0.8938229487764269
47;14535993514.39;16711921234.51;0.869797871256913
48;11544439913.49;13842175538.09;0.8340047329787691
49;19150006046.36;31501805156.66;0.6079018631194655
5;17070920402.18;17607587598.74;0.9695206856958414
50;10908419820.37;12082412967.64;0.9028345455155131
51;12478129144.42;13342652205.82;0.9352060558827353
52;20803584227.44;34164620093.6;0.6089218662594494
53;18013754520.59;25412618268.73;0.7088507894031433
54;19480571301.83;20743487449.9;0.9391174627159384
55;12944393401.52;15630693000.66;0.8281394433998178
56;19076678365.21;22713817722.79;0.8398710687049908
57;12634601418.75;13946287248.54;0.9059473101038187
58;20516654073.2;35358762106.37;0.58024243075817
59;20007301386.38;37195383960.21;0.5378974285568053
6;13991182038.64;16503634489.94;0.8477636878815089
60;14692588709.12;16456071050.48;0.8928369757306948
61;7174584902.97;8609017227.63;0.8333802469280355
62;12544341466.97;14317957569.35;0.8761264591133637
63;21349078023.24;23432477056.05;0.9110892532690185
64;11404957920.69;13234683169.99;0.8617477104817325
65;18046656970.28;20389672201.44;0.8850881363853154
66;14654254968.95;17492825493.13;0.8377294436913694
67;22596818073.32;24253831909.45;0.9316803281924132
68;19882993128.329998;32263071861.66;0.6162771236906943
69;17404260398.94;24903863016.7;0.6988578594119744
7;21739538426.76;26011833011.99;0.8357557276620715
70;10222983826.39;11305507153.13;0.9042481410097294
71;13388159253.63;15684086638.03;0.8536142118194534
72;12893166679.1;15493170258.34;0.8321838890371444
73;15942785300.07;18355333888.33;0.868564167618119
74;11397187522.14;13850536226.44;0.8228697673367564
75;18521275232.32;21515837786.26;0.860820546069913
76;22173131929.27;32779216298.22;0.676438744829725
77;17675324304.81;19981848368.56;0.884569033794734
78;16066259833.43;17928469441.57;0.8961311441442864
79;11608709321.07;13273978306.61;0.874546353242814
8;16709629372.92;17578276130.68;0.9505840759752363
80;15837266556.89;18904553842.18;0.8377487609125034
81;21666114376.89;35280981220.74;0.6141018086014436
82;13175106623.53;15481178952.09;0.8510402640718345
83;21582796649.75;25965302081.47;0.8312168517058174
84;14086837914.77;17261220681.29;0.8160974345249629
85;15391549490.37;16458789900.27;0.9351568118697176
86;15236958390.65;16436077226.61;0.9270434897921611
87;14816813766.24;15596798914.84;0.9499906902141398
88;11714331891.73;14970070964.53;0.7825167909681837
89;16717783957.97;17206000548.45;0.9716252135930576
9;3603158975.2;24591793954.46;0.1465187526323807
90;16066191015.97;17924510859.66;0.896325213098437
91;17694297003.63;20223092193.19;0.8749550679291491
92;15923943283.18;18074060820.26;0.8810384916559627
93;18190832199.99;31683729979.6;0.5741379632922771
94;17024585281.16;20184116702.76;0.843464469209695
95;18272740668.09;21886282143.09;0.8348946864810076
96;12241335949.59;13278876311.45;0.921865349331904
97;14398621017.23;15974302926.789999;0.9013614605418886
98;14816732381.58;17132786867.02;0.8648174110016904
99;13316901315.04;14876734289.36;0.89514950364909
