FromParticipantId;Value_settled;Value_input;settled_input_ratio
1;16475029127.14;18823225865.31;0.8752500365786091
10;18761505015.94;25038278795.64;0.7493128888399071
100;18669941745.96;22084464157.98;0.8453880344302491
11;7040605716.74;17292118454.09;0.4071569215439146
12;8096144151.03;10785864711.869999;0.7506254127330261
13;16783728848.04;19840505157.49;0.8459325362340366
14;18689535239.06;19770306832.4;0.9453335953507404
15;13061789031.13;14228188900.64;0.9180219016168998
16;16706715676.02;20836989752.11;0.8017816332768624
17;17773808710.03;19310723480.6;0.9204113314493877
18;7406874123.7699995;9236575840.19;0.8019069243757367
19;24412933049.79;26976667706.38;0.9049647389924415
2;2009264474.44;3640129221.1;0.5519761394165085
20;18096361659.11;21434262202.44;0.8442726644003625
21;21740514827.87;26719524994.35;0.8136564865006829
22;22185491407.89;31015831468.62;0.7152957169739583
23;19110376574.08;20908659823.21;0.9139933757431079
24;13836209385.38;15493155889.77;0.893053002488404
25;20867218482.89;23804617388.8;0.8766038177411734
26;16649178724.45;17834571596.31;0.9335339867594431
27;21207064053.23;22723785481.77;0.9332540157203658
28;18304302009.83;28712163854.53;0.6375103632930152
29;12937997533.76;14358478294.83;0.9010702435242413
3;16583792781.05;17082279029.87;0.9708185161974963
30;13038094719.39;14313212057.26;0.9109132644182945
31;10983835012.34;14112574390.89;0.7783013012445359
32;15270770633.23;17225031435.79;0.8865452983441611
33;15326683825.7;19592280109.1;0.7822817834551701
34;17502701259.18;21495076930.42;0.8142655788502922
35;803849791.5400001;803849791.5400001;1.0
36;10799817279.06;13424851200.31;0.8044645797497268
37;8982662706.58;14637367587.67;0.6136802025896156
38;18428852409.27;21961548677.73;0.8391417508710435
39;11631095035.16;16047812799.5;0.7247775868573435
4;15590867654.04;18777395462.72;0.830299797700569
40;11178023395.38;13318884673.74;0.8392612196289227
41;13337149878.28;13779753142.76;0.9678801746377766
42;19275563046.38;22298399633.05;0.8644370611158281
43;16337945573.64;17940744286.15;0.9106615262474177
44;16035453839.07;17705294585.27;0.9056869266897579
45;11437746888.01;15087323150.55;0.7581031289565137
46;15439946184.07;17452897275.34;0.8846637862176504
47;14271112538.35;16473459585.34;0.8663093786960266
48;11538439547.82;13790708221.2;0.8366821603898731
49;19108925988.43;30890677575.27;0.6185984733377277
5;17070920402.18;17607587598.74;0.9695206856958414
50;10736476922.76;11985137655.31;0.8958159039586181
51;12441632661.74;13306155723.14;0.9350283373058264
52;20879465644.2;33372388642.49;0.6256509196232988
53;18510090973.9;24670009906.93;0.7503073992970052
54;19227872000.47;20604090847.27;0.9332065240344082
55;12943954893.02;15536798358.9;0.8331159737041492
56;19008838336.17;22530561956.41;0.8436912657991621
57;12637164172.73;13541130192.76;0.9332429415298494
58;20376323607.97;35530572639.09;0.5734870590166733
59;20475988867.28;36209082296.73;0.5654931737700837
6;13992619510.53;16404121116.93;0.8529941598693032
60;14543750969.88;16439578109.539999;0.884679088050329
61;7144494678.29;8538135902.84;0.8367745324730144
62;12672814752.22;14189484284.1;0.8931131321256331
63;20825056108.39;23548112838.0;0.8843619975688346
64;11016638038.49;12711822497.55;0.8666450495680915
65;17924797096.33;20546823547.82;0.8723877466807665
66;14670943519.31;17393228887.03;0.843485911362324
67;22595912912.34;24059238919.67;0.9391782087448479
68;19771271055.04;31983585184.24;0.6181693184534656
69;17253564259.62;24586673539.25;0.7017445541006808
7;21413946449.04;25633033982.6;0.8354042858748612
70;10274015012.87;11305507153.13;0.9087619753551327
71;13392318849.28;15455905180.77;0.866485572513897
72;12971480796.81;15234147492.78;0.8514740193343698
73;15928573382.77;17698124940.09;0.9000147437477068
74;11281444810.61;13853891928.83;0.814315924259036
75;18359607710.75;21318574518.47;0.8612024080148318
76;21989780324.06;31669455583.01;0.6943529631073626
77;17981110466.07;19444996194.56;0.9247165844702225
78;15938166918.59;17748884325.81;0.8979813393348393
79;11144221251.58;12775347435.7;0.8723223620860667
8;16612966523.62;17481613281.38;0.9503108355173826
80;15577741703.86;18750378174.92;0.830796134271914
81;21994182097.69;34757209901.57;0.6327948117808073
82;12852215138.76;15722593224.42;0.8174360905552279
83;21828670525.05;25638437462.64;0.8514040903178463
84;14189733379.46;16860711415.789999;0.841585685771916
85;15475201386.17;16219769469.65;0.9540950267589675
86;15041141138.39;15977752075.97;0.9413803059950698
87;14777020122.9;15472170535.5;0.9550709183947386
88;11808654210.92;14777009331.210001;0.7991234184294218
89;16544302509.63;17032519100.11;0.9713362076619161
9;3603158975.2;24591793954.46;0.1465187526323807
90;15862524052.6;18178120019.61;0.8726163121097228
91;17582888668.52;19568057804.8;0.8985505277997983
92;15793891618.89;17838194918.37;0.8853974121913675
93;18385477077.87;31513584539.71;0.5834143384959148
94;17203316951.61;20005385032.31;0.8599343088786106
95;17887187983.08;21694238454.28;0.8245132928162816
96;12092053045.6;13251128016.66;0.9125300902985202
97;14289879916.17;15865561825.73;0.900685401067573
98;14927028337.92;17130422728.09;0.871375363869046
99;13254750223.93;14714348606.53;0.9008044174002883
