TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline;T+x
1;2024-03-02 00:00:14;66427395.14;74;4;10;4;845;2024-03-02;0
2;2024-03-02 00:00:19;45353603.75;82;0;81;0;4310;2024-03-02;0
3;2024-03-02 00:00:21;135097842.86;12;3;93;3;2155;2024-03-02;0
4;2024-03-02 00:00:33;22853926.2;84;0;99;0;2722;2024-03-02;0
5;2024-03-02 00:00:46;145554769.33;49;0;11;0;13867;2024-03-02;0
6;2024-03-02 00:01:03;61229378.85;1;2;42;2;14921;2024-03-02;0
7;2024-03-02 00:01:40;145850696.75;53;3;28;3;4494;2024-03-02;0
8;2024-03-02 00:01:52;122474696.2;14;0;8;0;4621;2024-03-02;0
9;2024-03-02 00:02:03;25984260.58;72;0;11;0;6911;2024-03-02;0
10;2024-03-02 00:02:09;76291383.49;80;0;84;0;51;2024-03-02;0
11;2024-03-02 00:02:33;126908831.51;52;4;54;4;7644;2024-03-02;0
12;2024-03-02 00:03:23;64967084.5;8;0;26;0;10581;2024-03-02;0
13;2024-03-02 00:03:32;37948188.0;56;0;54;0;934;2024-03-02;0
14;2024-03-02 00:03:36;100275763.04;19;0;65;0;5241;2024-03-02;0
15;2024-03-02 00:03:40;35724145.63;19;0;78;0;10185;2024-03-02;0
16;2024-03-02 00:03:57;44176702.11;77;0;45;0;3208;2024-03-02;0
17;2024-03-02 00:04:00;26383496.98;15;0;86;0;7109;2024-03-02;0
18;2024-03-02 00:04:08;118278783.03;23;1;52;1;11609;2024-03-02;0
19;2024-03-02 00:04:13;62989581.77;17;5;29;5;7352;2024-03-02;0
20;2024-03-02 00:04:13;38275041.19;87;0;3;0;12489;2024-03-02;0
21;2024-03-02 00:04:38;17082798.45;36;0;71;0;10671;2024-03-02;0
22;2024-03-02 00:04:56;105704346.6;65;1;58;1;3677;2024-03-02;0
23;2024-03-02 00:04:59;86078604.98;44;5;43;5;10745;2024-03-02;0
24;2024-03-02 00:05:31;20993277.16;80;4;87;4;11754;2024-03-02;0
25;2024-03-02 00:06:01;48652232.67;26;0;54;0;9165;2024-03-02;0
26;2024-03-02 00:06:07;89148676.42;55;5;72;5;5178;2024-03-02;0
27;2024-03-02 00:06:28;125946994.92;59;0;63;0;8472;2024-03-02;0
28;2024-03-02 00:07:04;31057143.91;81;1;43;1;10170;2024-03-02;0
29;2024-03-02 00:07:25;33380021.16;31;0;74;0;7872;2024-03-02;0
30;2024-03-02 00:07:29;146497308.77;54;0;18;0;8261;2024-03-02;0
31;2024-03-02 00:07:56;18883139.13;40;0;61;0;5772;2024-03-02;0
32;2024-03-02 00:08:05;32271809.85;34;2;94;2;12285;2024-03-02;0
33;2024-03-02 00:08:10;48170526.37;52;0;73;0;5630;2024-03-02;0
34;2024-03-02 00:08:13;67798409.52;54;3;23;3;2737;2024-03-02;0
35;2024-03-02 00:08:44;92574931.4;42;0;1;0;14195;2024-03-02;0
36;2024-03-02 00:09:14;13057602.02;97;0;54;0;4382;2024-03-02;0
37;2024-03-02 00:09:21;89117458.22;46;0;42;0;12908;2024-03-02;0
38;2024-03-02 00:09:22;164806265.27;44;1;28;1;2426;2024-03-02;0
39;2024-03-02 00:09:24;28363226.27;35;0;99;0;7947;2024-03-02;0
40;2024-03-02 00:09:37;145215330.39;81;0;98;0;14540;2024-03-02;0
41;2024-03-02 00:09:43;9950829.52;57;2;31;2;2427;2024-03-02;0
42;2024-03-02 00:10:27;89738701.78;43;3;44;3;9522;2024-03-02;0
43;2024-03-02 00:10:51;87592965.27;19;0;84;0;3738;2024-03-02;0
44;2024-03-02 00:10:51;91082250.64;38;0;51;0;13440;2024-03-02;0
45;2024-03-02 00:10:52;61640231.86;78;3;66;3;14004;2024-03-02;0
46;2024-03-02 00:10:57;54335042.04;21;5;71;5;3388;2024-03-02;0
47;2024-03-02 00:11:11;44028121.98;63;4;4;4;3197;2024-03-02;0
48;2024-03-02 00:11:21;62821890.11;42;0;65;0;4728;2024-03-02;0
49;2024-03-02 00:11:49;202524680.62;83;0;80;0;9154;2024-03-02;0
50;2024-03-02 00:11:50;69938426.57;95;0;39;0;6336;2024-03-02;0
51;2024-03-02 00:11:52;20531391.43;60;0;26;0;3020;2024-03-02;0
52;2024-03-02 00:12:05;31111628.82;82;0;66;0;13430;2024-03-02;0
53;2024-03-02 00:12:05;141538520.58;59;0;98;0;8267;2024-03-02;0
54;2024-03-02 00:12:16;40686680.88;20;0;59;0;2028;2024-03-02;0
55;2024-03-02 00:12:40;93968855.22;46;0;16;0;7905;2024-03-02;0
56;2024-03-02 00:12:48;68342052.38;46;0;62;0;5562;2024-03-02;0
57;2024-03-02 00:13:02;34595449.53;73;0;26;0;7699;2024-03-02;0
58;2024-03-02 00:13:12;34343629.27;34;0;36;0;14478;2024-03-02;0
59;2024-03-02 00:13:16;61918703.48;68;0;40;0;2051;2024-03-02;0
60;2024-03-02 00:13:16;43006770.37;47;3;32;3;1612;2024-03-02;0
61;2024-03-02 00:13:22;14253449.74;49;4;55;4;443;2024-03-02;0
62;2024-03-02 00:13:46;35962157.33;81;0;53;0;2216;2024-03-02;0
63;2024-03-02 00:13:53;34701286.88;37;0;79;0;1169;2024-03-02;0
64;2024-03-02 00:14:02;66912075.51;63;4;72;4;7805;2024-03-02;0
65;2024-03-02 00:14:04;14215310.18;29;2;11;2;5762;2024-03-02;0
66;2024-03-02 00:14:08;16960280.32;96;0;8;0;6160;2024-03-02;0
67;2024-03-02 00:14:15;81781952.9;26;5;54;5;13432;2024-03-02;0
68;2024-03-02 00:14:27;39076040.46;55;0;35;0;1547;2024-03-02;0
69;2024-03-02 00:14:59;38976007.74;35;4;23;4;7731;2024-03-02;0
70;2024-03-02 00:15:04;34792544.51;63;0;35;0;9688;2024-03-02;0
71;2024-03-02 00:15:05;71142118.32;7;3;63;3;3834;2024-03-02;0
72;2024-03-02 00:15:13;65669995.13;95;1;98;1;6698;2024-03-02;0
73;2024-03-02 00:15:29;56160045.02;24;0;50;0;14249;2024-03-02;0
74;2024-03-02 00:15:57;30288834.43;45;0;51;0;3591;2024-03-02;0
75;2024-03-02 00:15:58;52871095.46;72;3;65;3;3673;2024-03-02;0
76;2024-03-02 00:16:02;97489111.61;88;4;22;4;10596;2024-03-02;0
77;2024-03-02 00:16:07;11147062.24;57;1;12;1;2766;2024-03-02;0
78;2024-03-02 00:16:25;28466131.28;64;0;61;0;11525;2024-03-02;0
79;2024-03-02 00:16:29;74720955.44;75;0;91;0;8523;2024-03-02;0
80;2024-03-02 00:16:40;71331624.09;43;0;64;0;13283;2024-03-02;0
81;2024-03-02 00:17:17;8216192.05;31;0;10;0;13513;2024-03-02;0
82;2024-03-02 00:17:18;33256763.46;97;0;15;0;3363;2024-03-02;0
83;2024-03-02 00:18:04;57531290.83;65;0;28;0;8327;2024-03-02;0
84;2024-03-02 00:18:41;41209882.96;82;0;16;0;4836;2024-03-02;0
85;2024-03-02 00:19:13;36717609.2;15;5;73;5;7688;2024-03-02;0
