TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline;T+x
1;2024-03-02 00:00:03;755052455.23;0;30;1;30;10031;2024-03-02;0
2;2024-03-02 00:00:44;527555248.62;0;1;10;1;14614;2024-03-02;0
3;2024-03-02 00:02:03;190749609.86;16;0;18;0;12161;2024-03-02;0
4;2024-03-02 00:02:06;769261577.56;3;0;2;0;9038;2024-03-02;0
5;2024-03-02 00:02:09;816955574.12;4;47;3;47;794;2024-03-02;0
6;2024-03-02 00:02:10;555704987.37;18;0;19;0;9287;2024-03-02;0
7;2024-03-02 00:02:25;697740315.77;12;31;8;31;8246;2024-03-02;0
8;2024-03-02 00:02:41;259736063.1;6;1;8;1;11577;2024-03-02;0
9;2024-03-02 00:03:23;918849644.37;2;9;3;9;7655;2024-03-02;0
10;2024-03-02 00:03:59;371485365.46;1;0;0;0;5618;2024-03-02;0
11;2024-03-02 00:05:37;1025667831.06;6;0;8;0;616;2024-03-02;0
12;2024-03-02 00:05:41;1098577245.32;8;15;6;15;1412;2024-03-02;0
13;2024-03-02 00:05:51;410318399.37;19;0;18;0;9067;2024-03-02;0
14;2024-03-02 00:06:12;0.0;0;0;3;0;12873;2024-03-02;0
15;2024-03-02 00:07:12;324838964.81;9;0;7;0;10722;2024-03-02;0
16;2024-03-02 00:07:28;439929280.78;7;28;9;28;4920;2024-03-02;0
17;2024-03-02 00:08:39;1246209295.24;14;0;16;0;2614;2024-03-02;0
18;2024-03-02 00:08:41;976893717.33;12;41;8;41;14565;2024-03-02;0
19;2024-03-02 00:08:46;731925275.74;7;46;5;46;347;2024-03-02;0
20;2024-03-02 00:09:36;444377885.86;16;42;17;42;13730;2024-03-02;0
21;2024-03-02 00:09:56;0.0;16;4;0;4;3987;2024-03-02;0
22;2024-03-02 00:09:59;1157898573.08;13;35;3;35;11731;2024-03-02;0
23;2024-03-02 00:10:03;983620576.85;11;26;13;26;3115;2024-03-02;0
24;2024-03-02 00:10:16;537753238.58;13;38;12;38;14034;2024-03-02;0
25;2024-03-02 00:10:25;554072245.95;10;0;8;0;4977;2024-03-02;0
26;2024-03-02 00:10:37;663572034.0;14;0;17;0;13274;2024-03-02;0
27;2024-03-02 00:11:05;1069260273.6;4;0;3;0;1730;2024-03-02;0
28;2024-03-02 00:11:20;865600093.47;5;0;14;0;9158;2024-03-02;0
29;2024-03-02 00:11:22;1322459935.42;7;3;5;3;9142;2024-03-02;0
30;2024-03-02 00:13:17;1446591416.24;13;0;11;0;4913;2024-03-02;0
31;2024-03-02 00:13:29;184198786.93;6;15;9;15;3924;2024-03-02;0
32;2024-03-02 00:14:08;117053897.71;6;10;9;10;5133;2024-03-02;0
33;2024-03-02 00:16:15;0.0;9;19;0;19;4648;2024-03-02;0
34;2024-03-02 00:16:18;1204192972.04;5;0;4;0;3859;2024-03-02;0
35;2024-03-02 00:16:31;736837208.12;12;26;10;26;12036;2024-03-02;0
36;2024-03-02 00:16:32;731513933.12;3;43;2;43;3809;2024-03-02;0
37;2024-03-02 00:16:34;939567973.43;4;0;3;0;484;2024-03-02;0
38;2024-03-02 00:17:01;258076429.5;19;0;18;0;1590;2024-03-02;0
39;2024-03-02 00:17:16;988207917.77;12;0;13;0;2865;2024-03-02;0
40;2024-03-02 00:17:21;427924979.38;16;0;0;0;1445;2024-03-02;0
41;2024-03-02 00:17:36;401598943.88;4;50;5;50;2306;2024-03-02;0
42;2024-03-02 00:17:55;1162467154.56;2;0;3;0;9668;2024-03-02;0
43;2024-03-02 00:19:06;764831767.0;6;35;5;35;1779;2024-03-02;0
44;2024-03-02 00:21:13;476710843.69;9;42;11;42;3715;2024-03-02;0
45;2024-03-02 00:21:20;995736042.45;13;14;14;14;14712;2024-03-02;0
46;2024-03-02 00:21:31;1270632078.78;5;0;7;0;4974;2024-03-02;0
47;2024-03-02 00:21:57;502992886.69;7;46;9;46;14834;2024-03-02;0
48;2024-03-02 00:22:49;1052913227.1;13;4;3;4;8098;2024-03-02;0
49;2024-03-02 00:23:02;207419954.49;13;8;15;8;14501;2024-03-02;0
50;2024-03-02 00:23:18;1415344594.88;3;0;4;0;14300;2024-03-02;0
51;2024-03-02 00:23:34;532657642.66;2;0;0;0;2733;2024-03-02;0
52;2024-03-02 00:23:55;0.0;2;23;0;23;7838;2024-03-02;0
53;2024-03-02 00:25:38;301470726.39;14;33;13;33;11725;2024-03-02;0
54;2024-03-02 00:26:01;1370261087.84;13;0;14;0;10640;2024-03-02;0
55;2024-03-02 00:26:37;99232949.72;18;32;19;32;10536;2024-03-02;0
56;2024-03-02 00:26:41;309789534.89;7;14;9;14;902;2024-03-02;0
57;2024-03-02 00:26:44;459447629.52;11;0;9;0;2191;2024-03-02;0
58;2024-03-02 00:27:29;691463067.13;17;22;16;22;4862;2024-03-02;0
59;2024-03-02 00:27:57;609711264.24;18;0;16;0;4294;2024-03-02;0
60;2024-03-02 00:28:01;232870393.08;18;3;19;3;10119;2024-03-02;0
61;2024-03-02 00:28:45;0.0;16;17;0;17;5740;2024-03-02;0
62;2024-03-02 00:29:30;104611231.22;11;34;9;34;13000;2024-03-02;0
63;2024-03-02 00:30:00;1251968518.53;5;0;4;0;11921;2024-03-02;0
64;2024-03-02 00:30:08;571722415.07;8;0;6;0;11070;2024-03-02;0
65;2024-03-02 00:30:21;735591522.46;16;22;17;22;11854;2024-03-02;0
66;2024-03-02 00:30:42;960394525.39;2;0;3;0;8772;2024-03-02;0
67;2024-03-02 00:31:13;1503690942.8;9;24;7;24;4267;2024-03-02;0
68;2024-03-02 00:31:16;408081062.92;9;0;7;0;1320;2024-03-02;0
69;2024-03-02 00:31:25;614159435.17;8;0;6;0;4930;2024-03-02;0
70;2024-03-02 00:31:46;972238933.1;13;0;12;0;6850;2024-03-02;0
71;2024-03-02 00:31:57;294367341.22;9;2;19;2;6292;2024-03-02;0
72;2024-03-02 00:32:11;1145618789.68;13;19;3;19;10314;2024-03-02;0
73;2024-03-02 00:32:34;683820566.71;3;0;13;0;13666;2024-03-02;0
74;2024-03-02 00:32:41;805600573.64;16;0;0;0;5628;2024-03-02;0
75;2024-03-02 00:33:18;0.0;16;23;0;23;2192;2024-03-02;0
76;2024-03-02 00:33:28;650482257.39;9;30;7;30;12202;2024-03-02;0
77;2024-03-02 00:35:15;140472169.11;19;0;17;0;2328;2024-03-02;0
78;2024-03-02 00:35:27;1651004952.01;16;13;14;13;1969;2024-03-02;0
79;2024-03-02 00:35:27;1844989191.44;19;26;17;26;7592;2024-03-02;0
80;2024-03-02 00:36:25;1169486530.68;3;47;2;47;276;2024-03-02;0
81;2024-03-02 00:36:27;1154461209.2;4;0;3;0;983;2024-03-02;0
82;2024-03-02 00:36:33;0.0;0;0;16;0;9019;2024-03-02;0
83;2024-03-02 00:36:35;876194555.09;12;36;8;36;11003;2024-03-02;0
84;2024-03-02 00:36:40;998548176.14;5;0;14;0;4310;2024-03-02;0
85;2024-03-02 00:36:54;425489657.26;6;38;8;38;12688;2024-03-02;0
86;2024-03-02 00:37:38;496945602.69;7;0;9;0;4777;2024-03-02;0
87;2024-03-02 00:37:53;937512498.64;5;0;4;0;5494;2024-03-02;0
88;2024-03-02 00:38:13;253437058.11;9;0;6;0;11066;2024-03-02;0
89;2024-03-02 00:38:56;600595379.58;9;0;7;0;5052;2024-03-02;0
90;2024-03-02 00:39:31;155275985.77;11;43;10;43;9336;2024-03-02;0
91;2024-03-02 00:39:47;936874784.92;6;0;8;0;8201;2024-03-02;0
92;2024-03-02 00:39:58;312715319.69;9;0;19;0;8310;2024-03-02;0
93;2024-03-02 00:40:39;958364462.62;5;0;4;0;5716;2024-03-02;0
94;2024-03-02 00:41:20;458174975.07;18;0;19;0;2477;2024-03-02;0
95;2024-03-02 00:42:35;0.0;16;42;0;42;6000;2024-03-02;0
96;2024-03-02 00:42:40;713250664.97;0;46;16;46;10578;2024-03-02;0
97;2024-03-02 00:42:41;151919619.19;17;29;19;29;1035;2024-03-02;0
98;2024-03-02 00:42:42;841631386.49;7;0;9;0;4714;2024-03-02;0
99;2024-03-02 00:43:24;1214129001.36;7;26;6;26;4264;2024-03-02;0
100;2024-03-02 00:43:42;501573765.73;16;31;17;31;5675;2024-03-02;0
101;2024-03-02 00:43:56;270740512.79;7;0;6;0;12090;2024-03-02;0
102;2024-03-02 00:44:31;394976715.34;5;0;6;0;13649;2024-03-02;0
103;2024-03-02 00:44:44;480125002.54;15;0;13;0;2056;2024-03-02;0
104;2024-03-02 00:45:39;1695809649.83;2;12;1;12;3783;2024-03-02;0
105;2024-03-02 00:46:03;290908888.95;19;0;18;0;766;2024-03-02;0
106;2024-03-02 00:46:33;443287479.76;8;21;7;21;3333;2024-03-02;0
107;2024-03-02 00:46:40;858499306.47;6;0;8;0;1108;2024-03-02;0
108;2024-03-02 00:46:47;620042367.11;17;20;14;20;1059;2024-03-02;0
109;2024-03-02 00:47:30;0.0;16;47;0;47;2898;2024-03-02;0
110;2024-03-02 00:47:40;418397414.9;12;14;10;14;7075;2024-03-02;0
111;2024-03-02 00:47:56;756176725.44;11;0;19;0;7741;2024-03-02;0
112;2024-03-02 00:47:59;585938816.45;14;37;12;37;5230;2024-03-02;0
113;2024-03-02 00:48:08;941379198.64;6;0;7;0;8785;2024-03-02;0
114;2024-03-02 00:48:09;422381779.86;19;6;18;6;537;2024-03-02;0
115;2024-03-02 00:48:28;406934770.62;5;0;7;0;12194;2024-03-02;0
