TID;Starttime;Endtime;Activity
1;2024-03-02 00:00:19;2024-03-02 00:00:20;Validating
1;2024-03-02 00:00:20;2024-03-02 00:00:20;Waiting in backlog unmatched
2;2024-03-02 00:00:37;2024-03-02 00:00:38;Validating
2;2024-03-02 00:00:38;2024-03-02 00:00:38;Waiting in backlog unmatched
3;2024-03-02 00:01:04;2024-03-02 00:01:05;Validating
3;2024-03-02 00:01:05;2024-03-02 00:01:05;Waiting in backlog unmatched
4;2024-03-02 00:01:12;2024-03-02 00:01:13;Validating
4;2024-03-02 00:01:13;2024-03-02 00:01:13;Waiting in backlog unmatched
5;2024-03-02 00:01:41;2024-03-02 00:01:42;Validating
5;2024-03-02 00:01:42;2024-03-02 00:01:42;Waiting in backlog unmatched
6;2024-03-02 00:02:18;2024-03-02 00:02:19;Validating
6;2024-03-02 00:02:19;2024-03-02 00:02:19;Waiting in backlog unmatched
7;2024-03-02 00:03:29;2024-03-02 00:03:30;Validating
7;2024-03-02 00:03:30;2024-03-02 00:03:30;Waiting in backlog unmatched
8;2024-03-02 00:03:31;2024-03-02 00:03:32;Validating
8;2024-03-02 00:03:32;2024-03-02 00:03:32;Waiting in backlog unmatched
9;2024-03-02 00:03:52;2024-03-02 00:03:53;Validating
10;2024-03-02 00:03:52;2024-03-02 00:03:53;Validating
9;2024-03-02 00:03:53;2024-03-02 00:03:53;Waiting in backlog unmatched
10;2024-03-02 00:03:53;2024-03-02 00:03:53;Waiting in backlog unmatched
11;2024-03-02 00:04:17;2024-03-02 00:04:18;Validating
11;2024-03-02 00:04:18;2024-03-02 00:04:18;Waiting in backlog unmatched
12;2024-03-02 00:06:33;2024-03-02 00:06:34;Validating
12;2024-03-02 00:06:34;2024-03-02 00:06:34;Waiting in backlog unmatched
13;2024-03-02 00:07:49;2024-03-02 00:07:50;Validating
13;2024-03-02 00:07:50;2024-03-02 00:07:50;Waiting in backlog unmatched
14;2024-03-02 00:08:18;2024-03-02 00:08:19;Validating
14;2024-03-02 00:08:19;2024-03-02 00:08:19;Waiting in backlog unmatched
15;2024-03-02 00:08:39;2024-03-02 00:08:40;Validating
15;2024-03-02 00:08:40;2024-03-02 00:08:40;Waiting in backlog unmatched
16;2024-03-02 00:08:53;2024-03-02 00:08:54;Validating
16;2024-03-02 00:08:54;2024-03-02 00:08:54;Waiting in backlog unmatched
17;2024-03-02 00:09:14;2024-03-02 00:09:15;Validating
17;2024-03-02 00:09:15;2024-03-02 00:09:15;Waiting in backlog unmatched
18;2024-03-02 00:10:07;2024-03-02 00:10:08;Validating
18;2024-03-02 00:10:08;2024-03-02 00:10:08;Waiting in backlog unmatched
19;2024-03-02 00:12:06;2024-03-02 00:12:07;Validating
19;2024-03-02 00:12:07;2024-03-02 00:12:07;Waiting in backlog unmatched
20;2024-03-02 00:12:11;2024-03-02 00:12:12;Validating
20;2024-03-02 00:12:12;2024-03-02 00:12:12;Waiting in backlog unmatched
21;2024-03-02 00:13:10;2024-03-02 00:13:11;Validating
21;2024-03-02 00:13:11;2024-03-02 00:13:11;Waiting in backlog unmatched
22;2024-03-02 00:13:32;2024-03-02 00:13:33;Validating
22;2024-03-02 00:13:33;2024-03-02 00:13:33;Waiting in backlog unmatched
23;2024-03-02 00:13:58;2024-03-02 00:13:59;Validating
23;2024-03-02 00:13:59;2024-03-02 00:13:59;Waiting in backlog unmatched
24;2024-03-02 00:14:28;2024-03-02 00:14:29;Validating
24;2024-03-02 00:14:29;2024-03-02 00:14:29;Waiting in backlog unmatched
25;2024-03-02 00:14:54;2024-03-02 00:14:55;Validating
25;2024-03-02 00:14:55;2024-03-02 00:14:55;Waiting in backlog unmatched
26;2024-03-02 00:15:02;2024-03-02 00:15:03;Validating
26;2024-03-02 00:15:03;2024-03-02 00:15:03;Waiting in backlog unmatched
27;2024-03-02 00:15:52;2024-03-02 00:15:53;Validating
27;2024-03-02 00:15:53;2024-03-02 00:15:53;Waiting in backlog unmatched
28;2024-03-02 00:17:53;2024-03-02 00:17:54;Validating
28;2024-03-02 00:17:54;2024-03-02 00:17:54;Waiting in backlog unmatched
29;2024-03-02 00:19:13;2024-03-02 00:19:14;Validating
29;2024-03-02 00:19:14;2024-03-02 00:19:14;Waiting in backlog unmatched
30;2024-03-02 00:19:14;2024-03-02 00:19:15;Validating
30;2024-03-02 00:19:15;2024-03-02 00:19:15;Waiting in backlog unmatched
31;2024-03-02 00:19:40;2024-03-02 00:19:41;Validating
31;2024-03-02 00:19:41;2024-03-02 00:19:41;Waiting in backlog unmatched
32;2024-03-02 00:20:49;2024-03-02 00:20:50;Validating
32;2024-03-02 00:20:50;2024-03-02 00:20:50;Waiting in backlog unmatched
33;2024-03-02 00:21:16;2024-03-02 00:21:17;Validating
33;2024-03-02 00:21:17;2024-03-02 00:21:17;Waiting in backlog unmatched
34;2024-03-02 00:22:23;2024-03-02 00:22:24;Validating
34;2024-03-02 00:22:24;2024-03-02 00:22:24;Waiting in backlog unmatched
35;2024-03-02 00:22:28;2024-03-02 00:22:29;Validating
35;2024-03-02 00:22:29;2024-03-02 00:22:29;Waiting in backlog unmatched
36;2024-03-02 00:22:41;2024-03-02 00:22:42;Validating
36;2024-03-02 00:22:42;2024-03-02 00:22:42;Waiting in backlog unmatched
37;2024-03-02 00:23:02;2024-03-02 00:23:03;Validating
37;2024-03-02 00:23:03;2024-03-02 00:23:03;Waiting in backlog unmatched
38;2024-03-02 00:23:33;2024-03-02 00:23:34;Validating
38;2024-03-02 00:23:34;2024-03-02 00:23:34;Waiting in backlog unmatched
39;2024-03-02 00:24:45;2024-03-02 00:24:46;Validating
39;2024-03-02 00:24:46;2024-03-02 00:24:46;Waiting in backlog unmatched
40;2024-03-02 00:24:47;2024-03-02 00:24:48;Validating
40;2024-03-02 00:24:48;2024-03-02 00:24:48;Waiting in backlog unmatched
41;2024-03-02 00:26:01;2024-03-02 00:26:02;Validating
19;2024-03-02 00:26:02;2024-03-02 00:26:03;Matching
41;2024-03-02 00:26:02;2024-03-02 00:26:03;Matching
42;2024-03-02 00:26:10;2024-03-02 00:26:11;Validating
42;2024-03-02 00:26:11;2024-03-02 00:26:11;Waiting in backlog unmatched
43;2024-03-02 00:26:14;2024-03-02 00:26:15;Validating
43;2024-03-02 00:26:15;2024-03-02 00:26:15;Waiting in backlog unmatched
44;2024-03-02 00:26:36;2024-03-02 00:26:37;Validating
44;2024-03-02 00:26:37;2024-03-02 00:26:37;Waiting in backlog unmatched
45;2024-03-02 00:26:38;2024-03-02 00:26:39;Validating
45;2024-03-02 00:26:39;2024-03-02 00:26:39;Waiting in backlog unmatched
46;2024-03-02 00:26:47;2024-03-02 00:26:48;Validating
46;2024-03-02 00:26:48;2024-03-02 00:26:48;Waiting in backlog unmatched
47;2024-03-02 00:27:13;2024-03-02 00:27:14;Validating
47;2024-03-02 00:27:14;2024-03-02 00:27:14;Waiting in backlog unmatched
48;2024-03-02 00:27:16;2024-03-02 00:27:17;Validating
48;2024-03-02 00:27:17;2024-03-02 00:27:17;Waiting in backlog unmatched
49;2024-03-02 00:27:43;2024-03-02 00:27:44;Validating
49;2024-03-02 00:27:44;2024-03-02 00:27:44;Waiting in backlog unmatched
50;2024-03-02 00:27:45;2024-03-02 00:27:46;Validating
50;2024-03-02 00:27:46;2024-03-02 00:27:46;Waiting in backlog unmatched
51;2024-03-02 00:28:32;2024-03-02 00:28:33;Validating
51;2024-03-02 00:28:33;2024-03-02 00:28:33;Waiting in backlog unmatched
52;2024-03-02 00:28:50;2024-03-02 00:28:51;Validating
52;2024-03-02 00:28:51;2024-03-02 00:28:51;Waiting in backlog unmatched
53;2024-03-02 00:30:10;2024-03-02 00:30:11;Validating
53;2024-03-02 00:30:11;2024-03-02 00:30:11;Waiting in backlog unmatched
54;2024-03-02 00:30:40;2024-03-02 00:30:41;Validating
54;2024-03-02 00:30:41;2024-03-02 00:30:41;Waiting in backlog unmatched
55;2024-03-02 00:31:18;2024-03-02 00:31:19;Validating
55;2024-03-02 00:31:19;2024-03-02 00:31:19;Waiting in backlog unmatched
56;2024-03-02 00:31:21;2024-03-02 00:31:22;Validating
56;2024-03-02 00:31:22;2024-03-02 00:31:22;Waiting in backlog unmatched
57;2024-03-02 00:31:49;2024-03-02 00:31:50;Validating
57;2024-03-02 00:31:50;2024-03-02 00:31:50;Waiting in backlog unmatched
58;2024-03-02 00:32:14;2024-03-02 00:32:15;Validating
58;2024-03-02 00:32:15;2024-03-02 00:32:15;Waiting in backlog unmatched
59;2024-03-02 00:32:18;2024-03-02 00:32:19;Validating
59;2024-03-02 00:32:19;2024-03-02 00:32:19;Waiting in backlog unmatched
60;2024-03-02 00:33:26;2024-03-02 00:33:27;Validating
60;2024-03-02 00:33:27;2024-03-02 00:33:27;Waiting in backlog unmatched
61;2024-03-02 00:34:07;2024-03-02 00:34:08;Validating
61;2024-03-02 00:34:08;2024-03-02 00:34:08;Waiting in backlog unmatched
62;2024-03-02 00:34:14;2024-03-02 00:34:15;Validating
62;2024-03-02 00:34:15;2024-03-02 00:34:15;Waiting in backlog unmatched
63;2024-03-02 00:35:17;2024-03-02 00:35:18;Validating
63;2024-03-02 00:35:18;2024-03-02 00:35:18;Waiting in backlog unmatched
64;2024-03-02 00:35:23;2024-03-02 00:35:24;Validating
64;2024-03-02 00:35:24;2024-03-02 00:35:24;Waiting in backlog unmatched
65;2024-03-02 00:38:09;2024-03-02 00:38:10;Validating
65;2024-03-02 00:38:10;2024-03-02 00:38:10;Waiting in backlog unmatched
66;2024-03-02 00:38:31;2024-03-02 00:38:32;Validating
66;2024-03-02 00:38:32;2024-03-02 00:38:32;Waiting in backlog unmatched
67;2024-03-02 00:38:47;2024-03-02 00:38:48;Validating
67;2024-03-02 00:38:48;2024-03-02 00:38:48;Waiting in backlog unmatched
68;2024-03-02 00:38:51;2024-03-02 00:38:52;Validating
68;2024-03-02 00:38:52;2024-03-02 00:38:52;Waiting in backlog unmatched
69;2024-03-02 00:39:04;2024-03-02 00:39:05;Validating
69;2024-03-02 00:39:05;2024-03-02 00:39:05;Waiting in backlog unmatched
70;2024-03-02 00:39:14;2024-03-02 00:39:15;Validating
70;2024-03-02 00:39:15;2024-03-02 00:39:15;Waiting in backlog unmatched
71;2024-03-02 00:40:05;2024-03-02 00:40:06;Validating
71;2024-03-02 00:40:06;2024-03-02 00:40:06;Waiting in backlog unmatched
72;2024-03-02 00:40:57;2024-03-02 00:40:58;Validating
72;2024-03-02 00:40:58;2024-03-02 00:40:58;Waiting in backlog unmatched
73;2024-03-02 00:42:07;2024-03-02 00:42:08;Validating
73;2024-03-02 00:42:08;2024-03-02 00:42:08;Waiting in backlog unmatched
74;2024-03-02 00:42:25;2024-03-02 00:42:26;Validating
74;2024-03-02 00:42:26;2024-03-02 00:42:26;Waiting in backlog unmatched
75;2024-03-02 00:44:38;2024-03-02 00:44:39;Validating
75;2024-03-02 00:44:39;2024-03-02 00:44:39;Waiting in backlog unmatched
76;2024-03-02 00:44:44;2024-03-02 00:44:45;Validating
76;2024-03-02 00:44:45;2024-03-02 00:44:45;Waiting in backlog unmatched
77;2024-03-02 00:47:20;2024-03-02 00:47:21;Validating
77;2024-03-02 00:47:21;2024-03-02 00:47:21;Waiting in backlog unmatched
78;2024-03-02 00:47:40;2024-03-02 00:47:41;Validating
78;2024-03-02 00:47:41;2024-03-02 00:47:41;Waiting in backlog unmatched
79;2024-03-02 00:48:02;2024-03-02 00:48:03;Validating
79;2024-03-02 00:48:03;2024-03-02 00:48:03;Waiting in backlog unmatched
80;2024-03-02 00:49:18;2024-03-02 00:49:19;Validating
80;2024-03-02 00:49:19;2024-03-02 00:49:19;Waiting in backlog unmatched
81;2024-03-02 00:49:19;2024-03-02 00:49:20;Validating
81;2024-03-02 00:49:20;2024-03-02 00:49:20;Waiting in backlog unmatched
82;2024-03-02 00:52:12;2024-03-02 00:52:13;Validating
82;2024-03-02 00:52:13;2024-03-02 00:52:13;Waiting in backlog unmatched
83;2024-03-02 00:52:38;2024-03-02 00:52:39;Validating
83;2024-03-02 00:52:39;2024-03-02 00:52:39;Waiting in backlog unmatched
84;2024-03-02 00:52:42;2024-03-02 00:52:43;Validating
84;2024-03-02 00:52:43;2024-03-02 00:52:43;Waiting in backlog unmatched
85;2024-03-02 00:52:49;2024-03-02 00:52:50;Validating
85;2024-03-02 00:52:50;2024-03-02 00:52:50;Waiting in backlog unmatched
86;2024-03-02 00:53:29;2024-03-02 00:53:30;Validating
