TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline;T+x
1;2024-03-02 00:00:04;494721213.79;5;0;4;0;12848;2024-03-02;0
2;2024-03-02 00:00:33;1029911173.92;14;5;12;5;11744;2024-03-02;0
3;2024-03-02 00:00:49;593255876.36;13;0;10;0;11408;2024-03-02;0
4;2024-03-02 00:00:59;157828376.06;8;11;9;11;9371;2024-03-02;0
5;2024-03-02 00:01:04;464956360.0;16;15;19;15;14439;2024-03-02;0
6;2024-03-02 00:01:26;291502549.11;16;0;18;0;10078;2024-03-02;0
7;2024-03-02 00:01:28;1080523540.2;16;0;14;0;6706;2024-03-02;0
8;2024-03-02 00:01:41;821978839.36;10;6;8;6;9537;2024-03-02;0
9;2024-03-02 00:01:50;442106904.51;10;5;8;5;3320;2024-03-02;0
10;2024-03-02 00:02:24;801069413.59;11;46;12;46;10315;2024-03-02;0
11;2024-03-02 00:02:24;545161551.54;19;46;14;46;6053;2024-03-02;0
12;2024-03-02 00:02:37;849968345.63;3;18;12;18;4963;2024-03-02;0
13;2024-03-02 00:02:56;1371867674.02;12;26;20;26;8191;2024-03-02;0
14;2024-03-02 00:03:00;555595650.0;3;8;2;8;2717;2024-03-02;0
15;2024-03-02 00:03:02;750548882.66;11;22;8;22;3030;2024-03-02;0
16;2024-03-02 00:03:15;532554402.33;2;0;17;0;3465;2024-03-02;0
17;2024-03-02 00:03:17;391292689.83;6;28;14;28;2971;2024-03-02;0
18;2024-03-02 00:03:17;1188227104.26;20;0;5;0;11626;2024-03-02;0
19;2024-03-02 00:03:17;1152725885.48;5;0;4;0;9090;2024-03-02;0
20;2024-03-02 00:03:39;798365938.48;14;22;1;22;12231;2024-03-02;0
21;2024-03-02 00:03:41;1000727310.08;20;0;19;0;5802;2024-03-02;0
22;2024-03-02 00:03:43;862407097.49;1;0;11;0;9579;2024-03-02;0
23;2024-03-02 00:03:48;836561208.63;8;0;1;0;13246;2024-03-02;0
24;2024-03-02 00:03:52;478294147.37;16;0;18;0;891;2024-03-02;0
25;2024-03-02 00:04:03;958489869.47;13;0;1;0;5732;2024-03-02;0
26;2024-03-02 00:04:31;1225679383.3;16;0;18;0;5694;2024-03-02;0
27;2024-03-02 00:04:34;474177647.01;8;0;1;0;9422;2024-03-02;0
28;2024-03-02 00:04:36;271078546.27;9;0;3;0;9091;2024-03-02;0
29;2024-03-02 00:04:54;328022906.14;3;26;2;26;12342;2024-03-02;0
30;2024-03-02 00:05:09;1025161511.53;5;22;1;22;5153;2024-03-02;0
31;2024-03-02 00:05:36;827190715.88;1;6;13;6;9344;2024-03-02;0
32;2024-03-02 00:05:46;164486658.7;12;42;14;42;13836;2024-03-02;0
